Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price
18,D-0061,87341,2022,Acura,ILX,w/Premium/A-SPEC Package,WHITE,47271,Yes,4.6,2026-08-12,D,21600.0
22,B-0112,93953,2016,Acura,MDX,SH-AWD 4dr AWD,WHITE,100829,Yes,3.5,2026-08-12,B,11250.0
15,B-0147,94124,2014,Acura,RDX,Tech Pkg,SILVER,109237,No,"",2026-08-12,B,6200.0
16,C-0068,93795,2013,Acura,TSX,4dr Sdn I4 Auto,RED,113198,No,"",2026-08-12,C,6400.0
16,B-0132,94149,2011,Acura,TSX,4dr Sdn I4 Auto,BURGUNDY,178049,No,"",2026-08-12,B,600.0
16,A-0124,94247,2017,Audi,A4,Prestige,GRAY,142634,No,"",2026-08-12,A,6000.0
16,D-0081,90741,2010,Audi,A6,3.0T Premium Plus,BLACK,112611,No,"",2026-08-12,D,2000.0
19,B-0003,93964,2021,Audi,Q5,Premium Plus,WHITE,114771,Yes,3.8,2026-08-12,B,11000.0
17,C-0043,94345,2015,Audi,Q7,3.0L TDI Premium Plus,BLACK,120606,No,"",2026-08-12,C,5300.0
18,D-0041,90578,2021,Audi,S6,Prestige,GRAY,18561,Yes,4.4,2026-08-12,D,38600.0
15,B-0203,94337,2018,BMW,3-Series,320i,BLACK,100543,No,"",2026-08-12,B,4800.0
16,A-0032,91395,2018,BMW,3-Series,330i,WHITE,84191,No,"",2026-08-12,A,11400.0
20,B-0197,94308,2012,BMW,3-Series,328i,SILVER,139298,No,"",2026-08-12,B,1900.0
19,C-0126,93187,2017,BMW,6-Series,650i,SILVER,54221,Yes,4.4,2026-08-12,C,18600.0
18,C-0136,93995,2016,BMW,X1,XDrive28i,BROWN,111708,Yes,3.9,2026-08-12,C,5200.0
0,S-0001,93772,2025,BMW,X3,30 xDrive,BLACK,32725,No,"",2026-08-12,S,33700.0
0,S-0002,93773,2025,BMW,X3,30 xDrive,BLACK,32359,No,"",2026-08-12,S,33700.0
0,S-0003,93775,2024,BMW,X3,sDrive30i,SILVER,41953,No,"",2026-08-12,S,25700.0
16,B-0205,94413,2007,BMW,Z4,3.0i,SILVER,85860,No,"",2026-08-12,B,3500.0
15,C-0044,94431,2004,BMW,Z4,2.5i,GRAY,77975,No,"",2026-08-12,C,5500.0
17,B-0186,94441,2013,Buick,Enclave,Leather,WHITE,249042,No,"",2026-08-12,B,1000.0
16,C-0084,93755,2012,Buick,Enclave,Leather,WHITE,290078,No,"",2026-08-12,C,1000.0
16,B-0121,93957,2011,Buick,Enclave,CXL-1,WHITE,230050,No,"",2026-08-12,B,700.0
16,C-0003,94231,2012,Buick,LaCrosse,Premium 1,GOLD,116325,No,"",2026-08-12,C,2800.0
16,C-0083,93176,2011,Buick,LaCrosse,CXL,WHITE,122867,No,"",2026-08-12,C,1000.0
16,A-0001,93057,2016,Cadillac,ATS,Sedan Standard,BLACK,125393,No,"",2026-08-12,A,2200.0
26,D-0013,91980,2015,Cadillac,ATS,Sedan Luxury,GRAY,171756,Yes,3.5,2026-08-12,D,1200.0
16,D-0022,94167,1997,Cadillac,DeVille,4dr Sdn,GOLD,147621,No,"",2026-08-12,D,1400.0
18,B-0217,94300,2012,Cadillac,SRX,Luxury Collection,SILVER,168104,No,"",2026-08-12,B,2100.0
17,A-0187,94252,2017,Chevrolet,Camaro,1LT,BLUE,91859,Yes,3.4,2026-08-12,A,10200.0
16,A-0027,91373,2015,Chevrolet,Camaro,LT,RED,88223,No,"",2026-08-12,A,9000.0
15,B-0153,94145,2015,Chevrolet,Camaro,SS,SILVER,163852,No,"",2026-08-12,B,6500.0
19,C-0151,91060,2022,Chevrolet,Colorado,LT,BLUE,87110,Yes,4.2,2026-08-12,C,11200.0
15,A-0116,93922,2008,Chevrolet,Colorado,Work Truck,SILVER,214625,No,"",2026-08-12,A,700.0
18,C-0048,94454,2014,Chevrolet,Cruze,1LT,WHITE,104371,No,"",2026-08-12,C,2000.0
19,A-0158,94379,2012,Chevrolet,Cruze,LT w/1LT,RED,118690,No,"",2026-08-12,A,600.0
16,B-0116,93955,2016,Chevrolet,Cruze Limited,LS,BLUE,127264,No,"",2026-08-12,B,1600.0
16,A-0098,94012,2016,Chevrolet,Cruze Limited,LS,WHITE,179977,No,"",2026-08-12,A,700.0
18,C-0020,94370,2016,Chevrolet,Cruze Limited,LT,BLACK,105739,No,"",2026-08-12,C,900.0
18,D-0018,94162,2018,Chevrolet,Equinox,LT,BROWN,115794,Yes,4.1,2026-08-12,D,6500.0
17,A-0015,93282,2018,Chevrolet,Equinox,Premier,RED,112569,No,"",2026-08-12,A,7200.0
16,C-0137,94223,2015,Chevrolet,Equinox,LTZ,GOLD,197241,No,"",2026-08-12,C,1600.0
16,B-0167,94304,2013,Chevrolet,Equinox,LS,GRAY,181881,No,"",2026-08-12,B,1200.0
17,A-0097,94104,2011,Chevrolet,Equinox,LS,SILVER,206865,No,"",2026-08-12,A,1000.0
16,B-0094,93979,2010,Chevrolet,Equinox,LS,BLUE,108433,No,"",2026-08-12,B,2000.0
16,A-0007,93792,2012,Chevrolet,Impala,LT Retail,SILVER,126016,No,"",2026-08-12,A,800.0
19,A-0140,94319,2019,Chevrolet,Malibu,LT,GRAY,52319,No,"",2026-08-12,A,9000.0
17,A-0163,94377,2018,Chevrolet,Malibu,LS,SILVER,187979,No,"",2026-08-12,A,2000.0
19,A-0107,94163,2018,Chevrolet,Malibu,LT,BLACK,186643,No,"",2026-08-12,A,1800.0
16,A-0087,94107,2018,Chevrolet,Malibu,LT,WHITE,109868,No,"",2026-08-12,A,6800.0
29,D-0074,93686,2016,Chevrolet,Malibu,LT,SILVER,165708,Yes,2.8,2026-08-12,D,1700.0
15,I-0002,93895,2015,Chevrolet,Malibu,LTZ,PURPLE,122997,No,"",2026-08-12,I,1000.0
16,C-0161,93778,2013,Chevrolet,Malibu,LS,GOLD,137899,No,"",2026-08-12,C,3000.0
16,A-0171,94444,2009,Chevrolet,Malibu,LT w/2LT,SILVER,102402,No,"",2026-08-12,A,1250.0
16,B-0054,94284,2000,Chevrolet,Monte Carlo,LS,WHITE,163648,No,"",2026-08-12,B,900.0
17,B-0233,93042,2025,Chevrolet,Silverado 1500,LT,RED,16433,Yes,4.7,2026-08-12,B,33600.0
18,C-0110,93160,2022,Chevrolet,Silverado 1500,Custom Trail Boss,BLUE,83128,Yes,4.2,2026-08-12,C,26200.0
16,C-0017,93636,2019,Chevrolet,Silverado 1500,LT Trail Boss,GRAY,106170,No,"",2026-08-12,C,21200.0
16,C-0156,92532,2018,Chevrolet,Silverado 1500,LT,GRAY,101243,Yes,4.3,2026-08-12,C,16100.0
16,C-0008,94234,2017,Chevrolet,Silverado 1500,LT,BLACK,233025,No,"",2026-08-12,C,5600.0
16,B-0161,94303,2015,Chevrolet,Silverado 1500,LS,SILVER,108985,No,"",2026-08-12,B,9800.0
16,C-0154,93804,2022,Chevrolet,Silverado 1500 LTD,LT Trail Boss,BLACK,78263,Yes,4.2,2026-08-12,C,28500.0
16,A-0030,93700,2022,Chevrolet,Silverado 1500 LTD,LTZ,RED,96369,Yes,4.3,2026-08-12,A,27400.0
16,C-0069,93359,2016,Chevrolet,Silverado 2500,2500HD LT,BLACK,317002,No,"",2026-08-12,C,6500.0
16,C-0162,93781,2015,Chevrolet,Sonic,LT,SILVER,27245,No,"",2026-08-12,C,3800.0
16,C-0007,92277,2015,Chevrolet,Sonic,LTZ,RED,91176,No,"",2026-08-12,C,2100.0
16,A-0183,93597,2016,Chevrolet,Spark,LS,BLUE,82740,No,"",2026-08-12,A,2500.0
18,A-0072,93967,2014,Chevrolet,Suburban,LTZ,BLACK,177145,No,"",2026-08-12,A,1600.0
17,C-0146,93730,2013,Chevrolet,Suburban,LT,WHITE,150969,No,"",2026-08-12,C,7800.0
17,C-0024,94230,2010,Chevrolet,Suburban,LT,WHITE,197017,No,"",2026-08-12,C,5000.0
18,A-0194,94186,2008,Chevrolet,Tahoe,LT w/3LT,BLUE,210328,No,"",2026-08-12,A,3600.0
17,A-0170,94438,2007,Chevrolet,Trailblazer,LS,BLUE,313886,No,"",2026-08-12,A,500.0
21,C-0029,94255,2023,Chevrolet,Traverse,LS,BLUE,45635,Yes,0.0,2026-08-12,C,20600.0
17,B-0056,94286,2018,Chevrolet,Traverse,Premier,WHITE,85571,Yes,4.8,2026-08-12,B,13000.0
20,A-0038,93706,2021,Chevrolet,Trax,LT,BLUE,56460,No,"",2026-08-12,A,8600.0
20,B-0129,94113,2016,Chrysler,200,Limited,SILVER,61869,Yes,2.6,2026-08-12,B,1600.0
19,A-0156,94372,2009,Chrysler,300,Touring,BLACK,114900,No,"",2026-08-12,A,1200.0
20,C-0115,93992,2018,Chrysler,Pacifica,Touring L,BLACK,111194,Yes,3.3,2026-08-12,C,6600.0
29,D-0043,91872,2018,Chrysler,Pacifica,Touring L Plus,WHITE,95921,Yes,3.9,2026-08-12,D,20500.0
29,D-0009,88453,2015,Chrysler,Town & Country,Touring,RED,179754,Yes,2.0,2026-08-12,D,600.0
18,C-0039,93732,2011,Chrysler,Town & Country,Touring-L,SILVER,117606,No,"",2026-08-12,C,1600.0
17,A-0147,94330,2004,Chrysler,Town & Country,LX,GREEN,113700,No,"",2026-08-12,A,1400.0
16,A-0033,93458,2023,Chrysler,Voyager,LX,SILVER,87404,No,"",2026-08-12,A,13400.0
20,A-0159,94381,2021,Chrysler,Voyager,LXi,RED,100905,No,"",2026-08-12,A,8600.0
16,C-0155,91061,2021,Dodge,Challenger,R/T SCAT PACK,BLUE,9983,Yes,4.8,2026-08-12,C,38000.0
18,C-0140,94050,2020,Dodge,Charger,R/T,RED,40021,Yes,2.5,2026-08-12,C,23200.0
16,B-0093,93975,2014,Dodge,Charger,SXT,WHITE,133667,No,"",2026-08-12,B,3000.0
15,A-0019,93272,2001,Dodge,Dakota,Base,BLUE,210831,No,"",2026-08-12,A,600.0
16,B-0053,94278,2016,Dodge,Dart,SE,BLACK,91390,No,"",2026-08-12,B,2100.0
17,B-0234,93117,2025,Dodge,Durango,R/T,WHITE,20852,Yes,5.0,2026-08-12,B,35000.0
17,A-0188,94443,2017,Dodge,Durango,GT,WHITE,118342,No,"",2026-08-12,A,7800.0
23,D-0048,90579,2020,Dodge,Grand Caravan,GT,WHITE,135646,Yes,3.8,2026-08-12,D,4600.0
17,A-0138,94169,2020,Dodge,Grand Caravan,SXT,GRAY,156630,No,"",2026-08-12,A,3400.0
15,C-0018,94369,2019,Dodge,Grand Caravan,SXT,WHITE,133943,No,"",2026-08-12,C,1700.0
19,I-0017,94356,2018,Dodge,Grand Caravan,GT,BLACK,129700,No,"",2026-08-12,I,1000.0
21,C-0149,94241,2016,Dodge,Grand Caravan,SXT,TAN,88749,Yes,3.1,2026-08-12,C,5400.0
18,I-0026,92389,2013,Dodge,Grand Caravan,American Value Pkg,BLUE,160760,No,"",2026-08-12,I,500.0
30,B-0178,92697,2016,Dodge,Journey,SE,BLACK,120134,Yes,2.0,2026-08-12,B,1800.0
18,I-0012,94110,2014,Dodge,Journey,American Value Pkg,GRAY,141682,No,"",2026-08-12,I,600.0
15,C-0009,94235,2007,Dodge,Ram 1500,ST,BLUE,227604,No,"",2026-08-12,C,1200.0
16,D-0028,94218,2013,Fiat,500,Turbo,GRAY,106920,No,"",2026-08-12,D,800.0
23,D-0052,91762,2022,Ford,Bronco Sport,Big Bend,ORANGE,133755,Yes,2.3,2026-08-12,D,8000.0
29,D-0003,91352,2019,Ford,Edge,SEL,BLACK,136336,Yes,2.1,2026-08-12,D,2200.0
15,C-0030,93734,2018,Ford,Edge,Titanium,WHITE,246610,No,"",2026-08-12,C,3200.0
24,B-0216,93518,2018,Ford,Edge,Titanium,GOLD,118194,Yes,2.8,2026-08-12,B,5400.0
16,A-0141,94320,2018,Ford,Edge,Titanium,BLACK,103297,No,"",2026-08-12,A,7000.0
17,A-0096,94040,2012,Ford,Edge,SEL,BLUE,141962,No,"",2026-08-12,A,1000.0
16,C-0028,94254,2012,Ford,Edge,SEL,RED,196680,No,"",2026-08-12,C,2200.0
16,B-0235,93382,2023,Ford,Escape,ST-Line,SILVER,54913,Yes,4.9,2026-08-12,B,15000.0
16,C-0031,93647,2022,Ford,Escape,SE,GRAY,49227,Yes,4.0,2026-08-12,C,12000.0
17,B-0192,94191,2022,Ford,Escape,SE,BLUE,80567,Yes,4.5,2026-08-12,B,9000.0
16,A-0114,94188,2020,Ford,Escape,Titanium,BLACK,153229,No,"",2026-08-12,A,1200.0
16,A-0108,94126,2017,Ford,Escape,SE,GRAY,96510,No,"",2026-08-12,A,1600.0
17,B-0081,94226,2017,Ford,Escape,Titanium,RED,73166,Yes,3.7,2026-08-12,B,7200.0
18,B-0113,93921,2016,Ford,Escape,SE,SILVER,87752,Yes,4.4,2026-08-12,B,3600.0
16,B-0191,94317,2016,Ford,Escape,Titanium,BLACK,205019,No,"",2026-08-12,B,2300.0
19,I-0010,94108,2014,Ford,Escape,Titanium,BEIGE,151732,No,"",2026-08-12,I,900.0
16,B-0137,93352,2013,Ford,Escape,SEL,WHITE,152305,No,"",2026-08-12,B,900.0
