Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane
36,A-011,180111,2011,Jeep,Compass,4DR,SILVER,101796,Yes,3.1,2026-09-02,A
38,A-020,180205,2020,Kia,Sportage,SX TURBO,GRAY,103673,Yes,3.4,2026-09-02,A
32,A-024,181305,2017,BMW,3-Series,330i,WHITE,83291,Yes,4.5,2026-09-02,A
41,A-025,165986,2008,Mercedes-Benz,C Class,3.0L SPORT,GRAY,47267,Yes,3.4,2026-09-02,A
24,A-031,176074,2021,Lexus,RX 350,RX 350 AUTO,BLACK,49909,Yes,"",2026-09-02,A
24,A-033,180288,2013,Chrysler,200,Touring,BURGUNDY,21918,Yes,"",2026-09-02,A
30,A-039,178780,2025,Ford,Explorer,ST-Line,BLACK,37632,Yes,4.6,2026-09-02,A
26,A-041,178805,2025,Land Rover,Range Rover Sport,"",BLACK,29797,Yes,4.6,2026-09-02,A
23,A-043,179857,2011,Mercedes-Benz,E Class,E 550,WHITE,101138,Yes,"",2026-09-02,A
31,A-045,178806,2025,Dodge,Durango,GT,RED,30827,Yes,4.3,2026-09-02,A
29,A-046,178065,2024,Land Rover,Range Rover,"",BLACK,33321,Yes,4.7,2026-09-02,A
25,A-047,180222,2020,INFINITI,QX50,ESSENTIAL,GRAY,62549,Yes,"",2026-09-02,A
30,A-060,175211,2025,Honda,Pilot,Sport,GRAY,37511,Yes,3.5,2026-09-02,A
31,A-068,178598,2025,Mercedes-Benz,Sprinter 2500,HIGH R,WHITE,47867,Yes,4.1,2026-09-02,A
31,A-079,178448,2024,Jeep,Wagoneer,SERIES II C,GRAY,30981,Yes,3.2,2026-09-02,A
30,A-080,181213,2021,Ford,Escape,Titanium,BLACK,79260,Yes,4.5,2026-09-02,A
31,A-090,181253,2023,Jeep,Grand Cherokee L,SUM,WHITE,14571,Yes,4.6,2026-09-02,A
29,A-093,181252,2024,Honda,CR-V,EX-L,RED,15544,Yes,4.7,2026-09-02,A
25,A-101.1,181430,2026,Jaguar,F-Pace,R-DYNAMIC S,RED,4143,Yes,5.0,2026-09-02,A
29,A-101.9,181526,2024,Honda,CR-V,EX-L,SILVER,19252,Yes,4.3,2026-09-02,A
8,A-102.3,181525,2020,Nissan,Kicks,SV,GRAY,89360,No,"",2026-09-02,A
7,A-102.6,181558,2015,Nissan,Versa,SV,BLACK,72573,No,"",2026-09-02,A
23,A-103.9,181583,2024,Honda,HR-V,EX-L,GRAY,27939,Yes,4.8,2026-09-02,A
24,A-105,181421,2019,Honda,Accord,SEDAN LX 1.5T,GRAY,102503,Yes,"",2026-09-02,A
34,A-129,176785,2025,Toyota,Tundra,SR5,GRAY,4491,Yes,4.5,2026-09-02,A
25,A-140,181050,2022,BMW,X3,sDrive30i,GRAY,50399,Yes,4.4,2026-09-02,A
34,A-143,177690,2020,GMC,Sierra 1500,DENALI,BLACK,80159,Yes,4.0,2026-09-02,A
31,A-145,179049,2024,Cadillac,XT4,Sport,BLACK,29408,Yes,4.1,2026-09-02,A
28,A-146,179050,2020,Ford,Escape,Titanium,GRAY,74284,Yes,"",2026-09-02,A
31,A-147,180386,2020,Cadillac,XT6,PREMIUM LUXU,GRAY,84698,Yes,3.1,2026-09-02,A
32,A-148,180387,2021,Jeep,Grand Cherokee,LARED,GRAY,60330,Yes,3.1,2026-09-02,A
34,A-150,180532,2015,Acura,ILX,4DR SDN 2.0L,BLACK,76899,Yes,3.4,2026-09-02,A
9,A-152,180731,2006,Chevrolet,Silverado 1500,LT2,GREEN,231269,No,"",2026-09-02,A
8,A-160,181021,2021,Chevrolet,Silverado 1500,WORK,WHITE,126073,No,"",2026-09-02,A
28,A-161,181024,2025,Buick,Encore GX,Preferred,BLACK,26845,Yes,4.4,2026-09-02,A
26,A-167,181126,2025,Buick,Encore GX,Preferred,BLACK,27326,Yes,4.6,2026-09-02,A
7,A-168,181190,2021,Chevrolet,Silverado 1500,WORK,WHITE,117754,No,"",2026-09-02,A
8,A-173,181152,2021,Chevrolet,Silverado 1500,WORK,WHITE,118510,No,"",2026-09-02,A
39,A-174,181281,2019,Chevrolet,Tahoe,Premier,GRAY,87921,Yes,3.2,2026-09-02,A
37,A-175,181282,2021,BMW,X5,sDrive40i,WHITE,73948,Yes,2.9,2026-09-02,A
38,A-175.2,181317,2018,Volkswagen,Passat,2.0T SE,SILVER,85946,Yes,3.2,2026-09-02,A
30,A-177,178193,2021,Mercedes-Benz,GLE,580 4MATIC,BLACK,68475,Yes,4.5,2026-09-02,A
30,A-180,181086,2025,Honda,CR-V,LX,WHITE,16850,Yes,4.4,2026-09-02,A
28,A-181,181090,2024,BMW,X5,sDrive40i,BLACK,31885,Yes,4.6,2026-09-02,A
24,A-182,181539,2024,Mercedes-Benz,GLE,"",WHITE,26307,Yes,4.8,2026-09-02,A
24,A-189,180827,2015,BMW,X5,M 4DR,BLACK,93179,Yes,"",2026-09-02,A
25,A-192,180853,2020,Mercedes-Benz,GLE,350 GLE 350 SUV,BLACK,67246,Yes,"",2026-09-02,A
24,A-199,180935,2024,Ford,F150,XL,SILVER,7922,Yes,4.7,2026-09-02,A
34,A-200,180942,2018,BMW,6-Series Grn Turismo,"",BLUE,89013,Yes,3.7,2026-09-02,A
31,A-204,181238,2022,Lincoln,Corsair,Standard,BLUE,9822,Yes,3.6,2026-09-02,A
27,A-213,181419,2022,Toyota,Tundra,SR5,WHITE,27734,Yes,4.7,2026-09-02,A
30,A-214,181453,2021,Lexus,NX 300,F Sport,WHITE,59354,Yes,4.5,2026-09-02,A
25,A-216,181518,2025,Mazda,MX-5 Miata,MIATA RF GRAND,RED,552,Yes,4.7,2026-09-02,A
24,A-217,181467,2025,INFINITI,QX60,Autograph,BLACK,17201,Yes,"",2026-09-02,A
25,A-221,179906,2024,Kia,Forte,GT-Line,BLACK,53503,Yes,"",2026-09-02,A
9,A-224,181257,2020,Lincoln,Navigator L,"",BLACK,129693,No,"",2026-09-02,A
8,A-226,181263,2015,Ford,Taurus,SEL,BROWN,167428,No,"",2026-09-02,A
25,A-227,181265,2014,Lincoln,Navigator, 4DR,GRAY,86707,Yes,"",2026-09-02,A
8,A-229,181464,2007,BMW,3-Series,335i,BLUE,89304,No,"",2026-09-02,A
28,A-230.1,181466,2025,Honda,Odyssey,Elite,GRAY,14629,Yes,4.4,2026-09-02,A
29,A-233,180257,2024,Subaru,Impreza,Sport,BLUE,47526,Yes,4.5,2026-09-02,A
32,A-234,180751,2025,Honda,Civic,HATCHBACK SPOR,BLACK,6768,Yes,3.9,2026-09-02,A
32,A-236,178945,2024,Subaru,Outback,Onyx Edition,SILVER,30888,Yes,3.7,2026-09-02,A
30,A-237,180760,2023,Subaru,Forester,LIMITED,BLACK,34157,Yes,4.5,2026-09-02,A
33,A-240,180781,2022,Subaru,Outback,Wilderness,SILVER,38727,Yes,4.4,2026-09-02,A
30,A-257,181477,2021,Jeep,Grand Cherokee,80TH,BLACK,88855,Yes,4.4,2026-09-02,A
24,A-273,179562,2016,Jeep,Grand Cherokee,LIMIT,SILVER,201119,Yes,"",2026-09-02,A
31,A-275,180920,2024,Honda,CR-V,HYBRID SPORT TO,BLACK,25167,Yes,4.6,2026-09-02,A
31,A-276,180922,2023,Mazda,CX-5,2.5 S SELECT PA,BLACK,12014,Yes,4.2,2026-09-02,A
